"token_id","ok","text"
"975","1","'}} '"
"1110","1","""?"""
"1243","0",""""""""
"1264","0",""""""""
"1542","1","'}) '"
"2720","1","'""/> '"
"2803","1","']) '"
"2974","1","'.) '."
"4485","1","'ements '"
"4825","1",""":"" """
"4948","0","')))) '"
"5260","1","'}}\ '"
"5429","1","')))) '"
"5868","1","'тив '."
"6564","0","']] '"
"6844","1","'}). '"
"7218","0","')))) '"
"7659","0","'stood '"
"7700","1","']] '"
"7927","1","')$, '"
"7935","1","""}"" ""}"""
"8112","0","'$$$'"
"9079","1","'()). '"
"9340","0","')$ '"
"9412","0","'}{ '"
"10549","1",""""":"" """
"10647","1",""")"", '"
"10781","1","'}}, '"
"10900","1","')</ '"
"10941","0","')))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"11082","0","""# """
"11168","0","'(), '"
"11333","1",""">"" "">"
"11366","1","' seiner '."
"11789","0","']]', ']]', ']]', ']]', ']]', ']]', ']]', ']]',"
"11922","0","')))) '"
"12159","1",""")"" """
"12243","1","'ishment '"
"12505","1","'стви '"
"12683","1","'pgfpathlineto '"
"12729","1","'<' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '"
"12887","0","'}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{}{"
"13137","0","'Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є Є"
"13553","0","'schaft '"
"14111","1","'}}} '"
"14340","0","''_ '"
"14439","0","'., '"
"14491","0","''''"
"14934","0","'duration'"
"15056","0","'()))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"15278","0","'ieux '"
"15449","0","'erstern'."
"15489","0","'$'"
"15581","0","' COPYRIGHT '"
"15630","0","'REQUIRED '"
"15708","1","' klikken '"
"15745","1","'.). '"
"15880","0","'><>'"
"16016","1","')}$ '"
"16125","1","'}}_{ '"
"16871","1","'телей '"
"16938","0","'мені '"
"17006","0","'}{ '"
"17134","1","'igkeit '"
"17169","0",""". ."""
"17342","0","'dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem dem"
"17695","1","'},{, '"
"17713","0","""\"" """
"17784","1","' juin '"
"17927","0","')). '"
"18277","1","'ivamente '"
"18699","0","'erenenerenenerenenerenenerenenerenenerenenerenenerenenerenenereneneren"
"19057","1","' років '."
"19088","0","'geben'"
"19147","1","'ність '"
"19320","1","' ihrer '."
"19349","0","'шей '"
"19467","1","' ihn '"
"20018","0",""">, """
"20411","1","'][< '"
"20431","1","')_{ '"
"20572","1","' вико '."
"20607","0","' efter '"
"20735","0","')' ' and '"
"20896","1","' Станов '"
"20960","0","'}}\ '"
"21160","0","人口"
"21195","1","'тельно '"
"21328","1","'eerste'"
"21384","1","'>() '"
"21697","0","'чего '"
"21756","1","'diesem'"
"21770","1","' міс '"
"21784","0","""< """
"21999","0","')))) '"
"22084","0","'>&#160;'."
"22151","1","'ців '"
"22298","0","'$$- '"
"22505","0","')))) '"
"22816","1","')^{- '"
"23012","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"23031","0","人口"
"23092","0","'ders'"
"23139","0","'>'; '>'; '>'; '>'; '>'; '>'; '>'; '>'; '>'; '>'; '>'; '>';"
"23351","0","'ichten '"
"23486","1","'), '"
"23596","0","""$$"
"23880","0","'< '"
"24299","0","'איו איו איו איו איו איו"
"24458","0","'четечте'"
"24635","0","""][["""
"24984","0","'"") '"
"24996","1","')' ' '"
"25053","0","""["""
"25071","0","ןה"
"25133","0","'$, '"
"25166","0","'rency '."
"25197","0","'endl '"
"25260","1",""">& """
"25362","0","'$. '"
"25396","0","時間"
"25878","1","')$- '"
"25942","1","' junio '"
"25975","1","' Населення '"
"26156","0","' decades '."
"26461","1",""">"")"
"26537","1","' entstand '"
"26787","1","' деятель '."
"26939","0","'indowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindowindow"
"26972","1","' місце '"
"27146","0","'темплом '"
"27204","0","')))) '"
"27265","0","' */"
"27276","0","'}}} '"
"27456","0","'}] '"
"27496","1","'олові '"
"27618","1","' película '."
"27662","0","'))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
"27692","1","'inwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwonwon"
"28080","1","' م '"
"28084","1","' comenz '"
"28314","0","'Jahrhundert '"
"28561","0","' области '."
"28653","1","' той '."
"28656","0","'neum '"
"28954","1","' م '."
"29373","1","'ม ม ม '"
"29398","1","ם ם ם ם ם ם ם ם ם ם ם ם"
"29857","0","'ই '."
"29912","1","'ּ '"
"29983","0","'░░░░░░░░░░░░░░░░░░░░░░░"
"30247","1","'် '"
"30264","1","ម ם ם ם ם ם ם ם ם ም ም ም"
"30506","0","ס"
"30762","0","ই ই ই ┐"
"30886","1","'ῖ ì ì ì ì ì ì ì ì ì ì ì"
"31015","0","'░░░░░░░░░░░░░░░░░░░░░░░"
"31227","0","'ই ই ই ই ই ই ই ই ই ই ই ┐"
"31247","1","'們 們 們 們 ...'"
"31321","0","'ئ'."
"31375","0","'░░░░░░░░░░░░░░░░░░░░░░░"
"31656","0","'≯ '"
"31922","0","'┌────────────────────────────────────────────"
