alpha,beta,repair_rate,repaired,n_glitch,normal_break_rate,normal_broken,n_normal
1.0,0.25,0.014,7,500,0.004,2,500
1.0,0.5,0.024,12,500,0.008,4,500
1.0,1.0,0.032,16,500,0.008,4,500
1.0,1.5,0.046,23,500,0.008,4,500
1.0,2.0,0.056,28,500,0.014,7,500
1.0,4.0,0.094,47,500,0.026,13,500
2.0,0.25,0.07,35,500,0.012,6,500
2.0,0.5,0.06,30,500,0.014,7,500
2.0,1.0,0.068,34,500,0.018,9,500
2.0,1.5,0.07,35,500,0.022,11,500
2.0,2.0,0.072,36,500,0.022,11,500
2.0,4.0,0.094,47,500,0.03,15,500
4.0,0.25,0.092,46,500,0.018,9,500
4.0,0.5,0.09,45,500,0.014,7,500
4.0,1.0,0.09,45,500,0.016,8,500
4.0,1.5,0.086,43,500,0.024,12,500
4.0,2.0,0.084,42,500,0.024,12,500
4.0,4.0,0.102,51,500,0.032,16,500
8.0,0.25,0.098,49,500,0.022,11,500
8.0,0.5,0.092,46,500,0.02,10,500
8.0,1.0,0.094,47,500,0.02,10,500
8.0,1.5,0.092,46,500,0.02,10,500
8.0,2.0,0.086,43,500,0.024,12,500
8.0,4.0,0.1,50,500,0.034,17,500
16.0,0.25,0.096,48,500,0.028,14,500
16.0,0.5,0.092,46,500,0.028,14,500
16.0,1.0,0.092,46,500,0.024,12,500
16.0,1.5,0.092,46,500,0.022,11,500
16.0,2.0,0.092,46,500,0.028,14,500
16.0,4.0,0.104,52,500,0.032,16,500
